country_code,year,gdp_pc,trade_ratio,trade_share,inflation,trade_pct,unemployment,income
ARM,2014,3986.23162376713,0.2946471598054227,0.1005485745575451,2.98130868933673,75.778866962639,17.5,0
ARM,2015,3607.28929855361,0.4891402563255451,0.132609656598029,3.73169119261695,71.6820743427575,18.2600002288818,0
ARM,2016,3591.82805221639,0.4959534973383209,0.11825648993836678,-1.40360755900906,76.0779674593548,17.6200008392334,0
ARM,2017,3914.52785436696,0.48071601620086585,0.10897562991495373,0.969553268816231,87.202376539837,17.7000007629395,1
ARM,2018,4220.54032079145,0.2794148851164809,0.06962929471164428,2.52023382001631,92.473107021212,18.9699993133545,1
AUT,2014,51786.3771747905,0.8634288673858276,0.5152554053807572,1.60581182954471,103.503535251069,5.61999988555908,1
AUT,2015,44195.8175947748,0.8758401224477105,0.5212735671562715,0.896563335260302,102.42731538918,5.71999979019165,1
AUT,2016,45307.5878620429,0.8697158256430205,0.5298325956430028,0.891591752655335,100.982078278741,6.01000022888184,1
AUT,2017,47429.1584564387,0.8590659484155195,0.5216714840081033,2.08126911385587,104.938844932748,5.5,1
AUT,2018,51486.5755014824,0.8865703687415262,0.5268537203348139,1.99837981429546,107.88167678734,4.84999990463257,1
AZE,2014,7891.31314749986,0.6022711163138742,0.07869509042867412,1.3734418153318,69.4832251953347,4.90999984741211,1
AZE,2015,5500.31038244408,0.8858986874350437,0.19179260227333264,4.02768573742728,72.6015079073189,4.96000003814697,1
AZE,2016,3880.73873089556,0.6769022641713484,0.15404513559591593,12.4433748584372,90.0773187345677,5.0,1
AZE,2017,4147.08971569171,0.7914924186086142,0.16237872961382777,12.9359184187334,90.4023156823216,5.0,1
AZE,2018,4739.84171028393,0.7610632638356597,0.15498085752504062,2.26854690374005,91.6725765369825,4.90000009536743,1
BDI,2014,274.857836231788,0.5483923286687018,0.2654765955642743,4.4053523418529,42.995025805263,1.57000005245209,0
BDI,2015,305.511144099475,0.659315527786393,0.30838108100975525,5.54468891259786,22.8382834157721,1.60000002384186,0
BDI,2016,251.651477227529,0.5011771486190678,0.2784871356386184,5.55768961400965,23.0437252570449,1.5900000333786,0
BDI,2017,250.514600732695,0.44910333438960365,0.2033912011990782,16.0525353030392,22.2402931011977,1.58899998664856,0
BDI,2018,238.034309554717,0.4609040279216631,0.1588622821796414,-2.8146980766847,26.5997024647774,1.58700001239777,0
BFA,2014,792.84623742527,0.33992082281915176,0.2112083760180438,-0.258089517535353,58.8235624937426,4.18800020217896,0
BFA,2015,653.32726813947,0.4672964698791718,0.11425671671399741,0.724838981070599,59.0891813101662,4.32100009918213,0
BFA,2016,688.250696258197,0.34912191252195174,0.09249751578001997,0.441041448058759,57.8931727994406,4.43400001525879,0
BFA,2017,734.996267960528,0.39426583798623144,0.11156649881154086,1.48299897161327,59.2687802020168,4.56300020217896,0
BFA,2018,804.500537821516,0.46472191641307303,0.12472446804401792,1.95594302672532,60.5956256236488,4.69000005722046,0
BLR,2014,8341.39967861093,0.7092805050262404,0.5961867840059408,18.1195543526734,110.651424367582,5.99399995803833,1
BLR,2015,5967.05220384914,0.7844865494635602,0.5673610884964171,13.5344897649734,115.914826201946,5.84000015258789,1
BLR,2016,5039.68188628499,0.8921294434517723,0.6620039520584184,11.8365807653497,125.209322899662,5.84000015258789,1
BLR,2017,5785.67067254068,0.8276293880399579,0.6316369033168643,6.0318372517779,133.367754723012,5.65000009536743,1
BLR,2018,6360.06247301284,0.781409364769427,0.5902349801569651,4.87230220550689,139.393736250171,4.76000022888184,1
BOL,2014,3081.87882365163,1.7885589056220457,0.5489618454536718,5.7666007457914,85.2644695625131,2.01999998092651,0
BOL,2015,3035.97165495107,1.1249590263746325,0.492638667810444,4.05961041135646,67.9328451905248,3.10999989509583,0
BOL,2016,3076.65643933721,0.8003798674787544,0.3747942145749223,3.62321431764138,56.4010345026573,3.5,0
BOL,2017,3351.12434432642,0.8633006856797332,0.387077264215754,2.8227580554717,56.7046527566598,3.65000009536743,0
BOL,2018,3548.59078021899,0.9491174706373505,0.41102159407019534,2.27205987230148,57.1099646119643,3.51999998092651,0
BWA,2014,7495.22086608805,0.2989874049039055,0.2515806439011957,4.40225309243433,118.088526862789,19.9909992218018,1
BWA,2015,6402.91018338391,0.28189161804298857,0.28944465230093036,3.06203169580559,112.501672250529,20.5709991455078,1
BWA,2016,6982.91749241303,0.4153532089894047,0.2626481802029454,2.81495791361944,100.464668753216,21.0289993286133,1
BWA,2017,7296.09214157008,0.2075418437645362,0.1334832400552586,3.30828076768219,82.0092687424725,21.5659999847412,1
BWA,2018,7503.8785883646,0.20175446878541994,0.13882103220128847,3.2380155894771,88.0634318560814,22.0709991455078,1
CAF,2014,424.449131659484,0.012396551611292883,0.01610300839684608,14.8986841797549,53.0950920179825,5.52899980545044,0
CAF,2015,377.422917680195,0.5031939159388529,0.2038135132933151,1.40297017136816,53.1451477769621,5.60599994659424,0
CAF,2016,402.191645130502,0.41238933276921,0.09675260447415714,4.94543276106514,50.53064402191,5.65199995040894,0
CAF,2017,450.900697005372,0.19898094819228565,0.055319191709495556,4.18072331871272,57.1435457117119,5.64799976348877,0
CAF,2018,475.953813864813,0.1940950004906876,0.13543859146060072,1.61215686991555,49.6602000024318,5.60500001907349,0
CHE,2014,89684.7075795936,0.8433403510857782,0.2974753994512263,-0.0132025387515987,116.290754920505,4.82999992370605,1
CHE,2015,84776.1421659748,0.856669326093361,0.282762835440203,-1.14390867228178,113.122254468133,4.80000019073486,1
